cart,RelatedTo,horse,0.168
cat,RelatedTo,box,0.165
cat,RelatedTo,dog,1.338
cat,RelatedTo,mouse,0.504
cavalry,RelatedTo,horse,0.5
ceiling,RelatedTo,above,0.102
ceiling,RelatedTo,roof,0.302
chair,RelatedTo,below,0.148
chair,RelatedTo,bench,0.316
chair,RelatedTo,beneath,0.213
chair,RelatedTo,desk,0.778
chair,RelatedTo,place,2.229
chair,RelatedTo,sofa,1.194
chair,RelatedTo,table,4.235
chair,RelatedTo,under,0.142
chair,RelatedTo,bench,1.0
chair,RelatedTo,boat,1.0
chair,RelatedTo,professorship,1.0
chair,RelatedTo,sofa,1.0
chair,RelatedTo,carry,1.0
chair,RelatedTo,position,1.0
clock,RelatedTo,face,2.187
clock,RelatedTo,hand,0.722
clock,RelatedTo,watch,5.57
coat,RelatedTo,boat,0.119
coat,RelatedTo,has,0.259
coat,RelatedTo,jacket,7.67
coat,RelatedTo,layer,0.787
coat,RelatedTo,over,1.63
coat,RelatedTo,pull,0.138
coat,RelatedTo,shirt,0.818
coat,RelatedTo,wear,2.014
coat,RelatedTo,cover,1.0
coat,RelatedTo,hold,1.0
coating,RelatedTo,coat,1.0
coating,RelatedTo,layer,1.0
coating,RelatedTo,coat,1.0
column,RelatedTo,building,1.888
column,RelatedTo,hold,0.123
column,RelatedTo,newspaper,3.386
column,RelatedTo,post,0.874
column,RelatedTo,roof,0.618
column,RelatedTo,table,0.57
column,RelatedTo,tower,0.18
column,RelatedTo,roof,1.0
column,RelatedTo,table,1.0
computer,RelatedTo,laptop,1.0
computer,RelatedTo,person,1.0
cone,RelatedTo,base,0.216
cone,RelatedTo,hat,0.456
cone,RelatedTo,bowl,1.0
construction,RelatedTo,building,1.775
construction,RelatedTo,road,0.103
construction,RelatedTo,truck,0.126
construction,RelatedTo,building,1.0
contain,RelatedTo,has,0.16
contain,RelatedTo,hold,1.91
contain,RelatedTo,inside,0.645
contain,RelatedTo,hold,1.0
contain,RelatedTo,inside,1.0
corner,RelatedTo,box,0.464
corner,RelatedTo,road,0.275
corner,RelatedTo,side,0.173
corner,RelatedTo,street,0.676
corner,RelatedTo,drive,1.0
cover,RelatedTo,above,0.137
cover,RelatedTo,bed,3.219
cover,RelatedTo,behind,0.101
cover,RelatedTo,can,0.177
cover,RelatedTo,car,0.171
cover,RelatedTo,jacket,0.593
cover,RelatedTo,layer,0.162
cover,RelatedTo,over,1.171
cover,RelatedTo,paper,0.122
cover,RelatedTo,pillow,0.258
cover,RelatedTo,place,0.344
cover,RelatedTo,roof,0.313
cover,RelatedTo,umbrella,0.102
cover,RelatedTo,under,0.64
cover,RelatedTo,bed,1.0
cover,RelatedTo,car,1.0
cover,RelatedTo,position,1.0
cover,RelatedTo,setting,1.0
cover,RelatedTo,sofa,1.0
cover,RelatedTo,over,1.0
cover,RelatedTo,place,1.0
crown,RelatedTo,above,0.121
crown,RelatedTo,cover,0.342
crown,RelatedTo,has,0.368
crown,RelatedTo,hat,9.199
crown,RelatedTo,inside,0.122
crown,RelatedTo,tower,0.162
crown,RelatedTo,wear,2.812
cup,RelatedTo,cabinet,0.202
cup,RelatedTo,glass,0.424
cup,RelatedTo,inside,0.106
cup,RelatedTo,box,1.0
cup,RelatedTo,glass,1.0
cup_of_tea,RelatedTo,cup,1.0
desk,RelatedTo,above,0.484
desk,RelatedTo,box,0.106
desk,RelatedTo,chair,2.847
desk,RelatedTo,computer,3.834
desk,RelatedTo,inside,0.176
desk,RelatedTo,lamp,0.486
desk,RelatedTo,place,1.816
desk,RelatedTo,table,7.9
desk,RelatedTo,table,1.0
dog,RelatedTo,cat,3.622
dog,RelatedTo,horse,0.333
dog,RelatedTo,on,1.0
dog,RelatedTo,cone,1.0
dog,RelatedTo,phone,1.0
drive,RelatedTo,behind,0.142
drive,RelatedTo,bus,0.276
drive,RelatedTo,car,10.472
drive,RelatedTo,hit,0.162
drive,RelatedTo,person,0.142
drive,RelatedTo,ride,0.781
drive,RelatedTo,road,0.807
drive,RelatedTo,side,0.139
drive,RelatedTo,steering_wheel,0.651
drive,RelatedTo,street,0.42
drive,RelatedTo,use,0.559
drive,RelatedTo,wheel,0.914
drive,RelatedTo,ball,1.0
drive,RelatedTo,cover,1.0
drive,RelatedTo,ball,1.0
drive,RelatedTo,hit,1.0
earphone,RelatedTo,telephone,1.0
eat,RelatedTo,feed,0.494
eat,RelatedTo,table,0.117
eatage,RelatedTo,grass,1.0
eatage,RelatedTo,horse,1.0
elephant,RelatedTo,elephant,0.5
elephant,RelatedTo,has,0.135
engine,RelatedTo,car,1.876
engine,RelatedTo,car,1.0
engine,RelatedTo,construction,1.0
engine,RelatedTo,locomotive,1.0
face,RelatedTo,above,0.3
face,RelatedTo,below,0.137
face,RelatedTo,eat,0.115
face,RelatedTo,expression,0.112
face,RelatedTo,has,0.353
face,RelatedTo,person,0.141
face,RelatedTo,plate,0.145
